Day,Weight_g
0,46.37931034482759
4,46.37931034482759
6,44.55172413793103
8,42.89655172413793
11,42.44827586206897
13,40.206896551724135
15,39.310344827586206
18,40.41379310344828
19,38.758620689655174
20,38.86206896551724
21,38.86206896551724
22,38.310344827586206
25,40.827586206896555
26,40.44827586206897
28,39.6551724137931
29,37.827586206896555
30,38.48275862068966
32,39.62068965517241
34,38.44827586206897
36,39.03448275862069
39,40.13793103448276
41,38.62068965517241
43,38.48275862068966
46,40.206896551724135
48,38.62068965517241
50,38.48275862068966
53,39.37931034482759
55,39.10344827586207
57,39.44827586206897
60,38.62068965517241
67,40.107142857142854
69,37.285714285714285
71,37.81481481481482
